method,x,n,mean,lower,upper
exact,234,234,1,0.984359166314252,1
exact,234,234,1,0.984359166314252,1
exact,228,234,0.974358974358974,0.945028589579318,0.990533331205626
exact,228,234,0.974358974358974,0.945028589579318,0.990533331205626
exact,234,234,1,0.984359166314252,1
exact,213,234,0.91025641025641,0.866090142810839,0.943587198723734
exact,230,234,0.982905982905983,0.956813296460712,0.995323310907277
exact,228,234,0.974358974358974,0.945028589579318,0.990533331205626
exact,234,234,1,0.984359166314252,1
exact,218,234,0.931623931623932,0.891334873910654,0.960414964473786
