ImageNo,ReaderID,CaseID,Modality ,Score
1,Reader1 ,Actual101 ,modalityA ,1
2,truth ,Actual101 ,truth ,1
3,Reader1 ,Actual102 ,modalityA ,1
4,truth ,Actual102 ,truth ,1
5,Reader1 ,Actual103 ,modalityA ,1
6,truth ,Actual103 ,truth ,1
7,Reader1 ,Actual104 ,modalityA ,1
8,truth ,Actual104 ,truth ,1
9,Reader1 ,Actual105 ,modalityA ,0
10,truth ,Actual105 ,truth ,1
11,Reader1 ,Actual106 ,modalityA ,1
12,truth ,Actual106 ,truth ,1
13,Reader1 ,Actual107 ,modalityA ,1
14,truth ,Actual107 ,truth ,1
15,Reader1 ,Actual108 ,modalityA ,1
16,truth ,Actual108 ,truth ,1
17,Reader1 ,Actual109 ,modalityA ,1
18,truth ,Actual109 ,truth ,1
19,Reader1 ,Actual110 ,modalityA ,0
20,truth ,Actual110 ,truth ,1
21,Reader1 ,Actual111 ,modalityA ,1
22,truth ,Actual111 ,truth ,1
23,Reader1 ,Actual112 ,modalityA ,1
24,truth ,Actual112 ,truth ,1
25,Reader1 ,Actual113 ,modalityA ,1
26,truth ,Actual113 ,truth ,1
27,Reader1 ,Actual114 ,modalityA ,1
28,truth ,Actual114 ,truth ,1
29,Reader1 ,Actual115 ,modalityA ,0
30,truth ,Actual115 ,truth ,1
31,Reader1 ,Actual116 ,modalityA ,1
32,truth ,Actual116 ,truth ,1
33,Reader1 ,Actual117 ,modalityA ,1
34,truth ,Actual117 ,truth ,1
35,Reader1 ,Actual118 ,modalityA ,1
36,truth ,Actual118 ,truth ,1
37,Reader1 ,Actual119 ,modalityA ,1
38,truth ,Actual119 ,truth ,1
39,Reader1 ,Actual120 ,modalityA ,0
40,truth ,Actual120 ,truth ,1
41,Reader1 ,Actual121 ,modalityA ,1
42,truth ,Actual121 ,truth ,1
43,Reader1 ,Actual122 ,modalityA ,1
44,truth ,Actual122 ,truth ,1
45,Reader1 ,Actual123 ,modalityA ,1
46,truth ,Actual123 ,truth ,1
47,Reader1 ,Actual124 ,modalityA ,1
48,truth ,Actual124 ,truth ,1
49,Reader1 ,Actual125 ,modalityA ,0
50,truth ,Actual125 ,truth ,1
51,Reader1 ,Actual126 ,modalityA ,1
52,truth ,Actual126 ,truth ,1
53,Reader1 ,Actual127 ,modalityA ,1
54,truth ,Actual127 ,truth ,1
55,Reader1 ,Actual128 ,modalityA ,1
56,truth ,Actual128 ,truth ,1
57,Reader1 ,Actual129 ,modalityA ,1
58,truth ,Actual129 ,truth ,1
59,Reader1 ,Actual130 ,modalityA ,0
60,truth ,Actual130 ,truth ,1
61,Reader1 ,Actual131 ,modalityA ,1
62,truth ,Actual131 ,truth ,1
63,Reader1 ,Actual132 ,modalityA ,1
64,truth ,Actual132 ,truth ,1
65,Reader1 ,Actual133 ,modalityA ,1
66,truth ,Actual133 ,truth ,1
67,Reader1 ,Actual134 ,modalityA ,1
68,truth ,Actual134 ,truth ,1
69,Reader1 ,Actual135 ,modalityA ,0
70,truth ,Actual135 ,truth ,1
71,Reader1 ,Actual136 ,modalityA ,1
72,truth ,Actual136 ,truth ,1
73,Reader1 ,Actual137 ,modalityA ,1
74,truth ,Actual137 ,truth ,1
75,Reader1 ,Actual138 ,modalityA ,1
76,truth ,Actual138 ,truth ,1
77,Reader1 ,Actual139 ,modalityA ,1
78,truth ,Actual139 ,truth ,1
79,Reader1 ,Actual140 ,modalityA ,0
80,truth ,Actual140 ,truth ,1
81,Reader1 ,Actual141 ,modalityA ,1
82,truth ,Actual141 ,truth ,1
83,Reader1 ,Actual142 ,modalityA ,1
84,truth ,Actual142 ,truth ,1
85,Reader2 ,Actual201 ,modalityA ,1
86,truth ,Actual201 ,truth ,1
87,Reader2 ,Actual202 ,modalityA ,1
88,truth ,Actual202 ,truth ,1
89,Reader2 ,Actual203 ,modalityA ,1
90,truth ,Actual203 ,truth ,1
91,Reader2 ,Actual204 ,modalityA ,1
92,truth ,Actual204 ,truth ,1
93,Reader2 ,Actual205 ,modalityA ,1
94,truth ,Actual205 ,truth ,1
95,Reader2 ,Actual206 ,modalityA ,1
96,truth ,Actual206 ,truth ,1
97,Reader2 ,Actual207 ,modalityA ,1
98,truth ,Actual207 ,truth ,1
99,Reader2 ,Actual208 ,modalityA ,1
100,truth ,Actual208 ,truth ,1
101,Reader2 ,Actual209 ,modalityA ,1
102,truth ,Actual209 ,truth ,1
103,Reader2 ,Actual210 ,modalityA ,1
104,truth ,Actual210 ,truth ,1
105,Reader2 ,Actual211 ,modalityA ,1
106,truth ,Actual211 ,truth ,1
107,Reader2 ,Actual212 ,modalityA ,1
108,truth ,Actual212 ,truth ,1
109,Reader2 ,Actual213 ,modalityA ,1
110,truth ,Actual213 ,truth ,1
111,Reader2 ,Actual214 ,modalityA ,1
112,truth ,Actual214 ,truth ,1
113,Reader2 ,Actual215 ,modalityA ,1
114,truth ,Actual215 ,truth ,1
115,Reader2 ,Actual216 ,modalityA ,1
116,truth ,Actual216 ,truth ,1
117,Reader2 ,Actual217 ,modalityA ,0
118,truth ,Actual217 ,truth ,1
119,Reader2 ,Actual218 ,modalityA ,1
120,truth ,Actual218 ,truth ,1
121,Reader2 ,Actual219 ,modalityA ,1
122,truth ,Actual219 ,truth ,1
123,Reader2 ,Actual220 ,modalityA ,0
124,truth ,Actual220 ,truth ,1
125,Reader2 ,Actual221 ,modalityA ,1
126,truth ,Actual221 ,truth ,1
127,Reader2 ,Actual222 ,modalityA ,1
128,truth ,Actual222 ,truth ,1
129,Reader2 ,Actual223 ,modalityA ,1
130,truth ,Actual223 ,truth ,1
131,Reader2 ,Actual224 ,modalityA ,1
132,truth ,Actual224 ,truth ,1
133,Reader2 ,Actual225 ,modalityA ,1
134,truth ,Actual225 ,truth ,1
135,Reader2 ,Actual226 ,modalityA ,1
136,truth ,Actual226 ,truth ,1
137,Reader2 ,Actual227 ,modalityA ,1
138,truth ,Actual227 ,truth ,1
139,Reader2 ,Actual228 ,modalityA ,1
140,truth ,Actual228 ,truth ,1
141,Reader2 ,Actual229 ,modalityA ,1
142,truth ,Actual229 ,truth ,1
143,Reader2 ,Actual230 ,modalityA ,1
144,truth ,Actual230 ,truth ,1
145,Reader2 ,Actual231 ,modalityA ,1
146,truth ,Actual231 ,truth ,1
147,Reader2 ,Actual232 ,modalityA ,1
148,truth ,Actual232 ,truth ,1
149,Reader2 ,Actual233 ,modalityA ,1
150,truth ,Actual233 ,truth ,1
151,Reader2 ,Actual234 ,modalityA ,1
152,truth ,Actual234 ,truth ,1
153,Reader2 ,Actual235 ,modalityA ,1
154,truth ,Actual235 ,truth ,1
155,Reader2 ,Actual236 ,modalityA ,1
