ReaderID,CaseID,ModalityID,Score
Reader0001 ,Actual1001 ,modalityA ,1
truth ,Actual1001 ,truth ,1
Reader0001 ,Actual1002 ,modalityA ,1
truth ,Actual1002 ,truth ,1
Reader0001 ,Actual1004 ,modalityA ,1
truth ,Actual1004 ,truth ,1
Reader0001 ,Actual1005 ,modalityA ,1
truth ,Actual1005 ,truth ,1
Reader0001 ,Actual1006 ,modalityA ,1
truth ,Actual1006 ,truth ,1
Reader0001 ,Actual1007 ,modalityA ,1
truth ,Actual1007 ,truth ,1
Reader0001 ,Actual1008 ,modalityA ,1
truth ,Actual1008 ,truth ,1
Reader0001 ,Actual1009 ,modalityA ,1
truth ,Actual1009 ,truth ,1
Reader0001 ,Actual1010 ,modalityA ,1
truth ,Actual1010 ,truth ,1
Reader0002 ,Actual1011 ,modalityA ,1
truth ,Actual1011 ,truth ,1
Reader0002 ,Actual1012 ,modalityA ,1
truth ,Actual1012 ,truth ,1
Reader0002 ,Actual1013 ,modalityA ,1
truth ,Actual1013 ,truth ,1
Reader0002 ,Actual1014 ,modalityA ,1
truth ,Actual1014 ,truth ,1
Reader0002 ,Actual1015 ,modalityA ,1
truth ,Actual1015 ,truth ,1
Reader0002 ,Actual1016 ,modalityA ,1
truth ,Actual1016 ,truth ,1
Reader0002 ,Actual1017 ,modalityA ,1
truth ,Actual1017 ,truth ,1
Reader0002 ,Actual1018 ,modalityA ,1
truth ,Actual1018 ,truth ,1
Reader0002 ,Actual1019 ,modalityA ,1
truth ,Actual1019 ,truth ,1
Reader0003 ,Actual1020 ,modalityA ,1
truth ,Actual1020 ,truth ,1
Reader0003 ,Actual1021 ,modalityA ,0
truth ,Actual1021 ,truth ,1
Reader0003 ,Actual1022 ,modalityA ,1
truth ,Actual1022 ,truth ,1
Reader0003 ,Actual1023 ,modalityA ,1
truth ,Actual1023 ,truth ,1
Reader0003 ,Actual1024 ,modalityA ,1
truth ,Actual1024 ,truth ,1
Reader0003 ,Actual1025 ,modalityA ,1
truth ,Actual1025 ,truth ,1
Reader0003 ,Actual1026 ,modalityA ,1
truth ,Actual1026 ,truth ,1
