ReaderID,CaseID,ModalityID,Score
Reader0001 ,Actual1001 ,modalityA ,1
truth ,Actual1001 ,truth ,1
Reader0001 ,Actual1002 ,modalityA ,1
truth ,Actual1002 ,truth ,1
Reader0001 ,Actual1004 ,modalityA ,1
truth ,Actual1004 ,truth ,1
Reader0001 ,Actual1005 ,modalityA ,1
truth ,Actual1005 ,truth ,1
Reader0001 ,Actual1006 ,modalityA ,1
truth ,Actual1006 ,truth ,1
Reader0001 ,Actual1007 ,modalityA ,1
truth ,Actual1007 ,truth ,1
Reader0001 ,Actual1008 ,modalityA ,1
truth ,Actual1008 ,truth ,1
Reader0001 ,Actual1009 ,modalityA ,1
truth ,Actual1009 ,truth ,1
Reader0001 ,Actual1010 ,modalityA ,1
truth ,Actual1010 ,truth ,1
Reader0001 ,Actual2001 ,modalityA ,1
truth ,Actual2001 ,truth ,1
Reader0001 ,Actual2002 ,modalityA ,1
truth ,Actual2002 ,truth ,1
Reader0001 ,Actual2003 ,modalityA ,1
truth ,Actual2003 ,truth ,1
Reader0001 ,Actual2004 ,modalityA ,1
truth ,Actual2004 ,truth ,1
Reader0001 ,Actual2005 ,modalityA ,1
truth ,Actual2005 ,truth ,1
Reader0001 ,Actual2006 ,modalityA ,1
truth ,Actual2006 ,truth ,1
Reader0001 ,Actual2007 ,modalityA ,1
truth ,Actual2007 ,truth ,1
Reader0001 ,Actual2008 ,modalityA ,1
truth ,Actual2008 ,truth ,1
Reader0001 ,Actual2009 ,modalityA ,0
truth ,Actual2009 ,truth ,1
Reader0001 ,Actual4004 ,modalityA ,1
truth ,Actual4004 ,truth ,1
Reader0001 ,Actual4016 ,modalityA ,1
truth ,Actual4016 ,truth ,1
Reader0001 ,Actual4024 ,modalityA ,1
truth ,Actual4024 ,truth ,1
Reader0001 ,Actual4032 ,modalityA ,1
truth ,Actual4032 ,truth ,1
Reader0001 ,Actual4040 ,modalityA ,1
truth ,Actual4040 ,truth ,1
Reader0001 ,Actual8004 ,modalityA ,1
truth ,Actual8004 ,truth ,1
Reader0001 ,Actual8012 ,modalityA ,1
truth ,Actual8012 ,truth ,1
