modalityA,modalityB,UstatOrMLE,compOrCoeff,M1,M2,M3,M4,M5,M6,M7,M8
modalityA,NO_MOD,Ustat,comp_A,8.55000E-1,8.25570E-1,8.48826E-1,8.19396E-1,8.21667E-1,8.14150E-1,8.21667E-1,8.14150E-1
modalityA,NO_MOD,Ustat,coeff_A,1.48148E-5,2.20741E-3,2.20741E-3,3.28904E-1,2.96296E-5,4.41481E-3,4.41481E-3,-3.42193E-1
modalityA,NO_MOD,Ustat,comp_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,coeff_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,comp_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,coeff_product,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,Ustat,total,1.26667E-5,1.82237E-3,1.87370E-3,2.69502E-1,2.43457E-5,3.59432E-3,3.62751E-3,-2.78596E-1
modalityA,NO_MOD,MLE,comp_A,8.55000E-1,8.25767E-1,8.48867E-1,8.19633E-1,8.32778E-1,8.18056E-1,8.30733E-1,8.16011E-1
modalityA,NO_MOD,MLE,coeff_A,1.48148E-5,2.20741E-3,2.20741E-3,3.28904E-1,2.96296E-5,4.41481E-3,4.41481E-3,-3.42193E-1
modalityA,NO_MOD,MLE,comp_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
modalityA,NO_MOD,MLE,coeff_B,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0,0.00000E0
