modalityA,modalityB,UstatOrMLE,Components,R,TR,COV1,COV2,COV3,ERROR
modalityA,NO_MOD,Ustat,components,5.24609E-3,0.00000E0,0.00000E0,5.01119E-5,0.00000E0,2.37360E-4
modalityA,NO_MOD,Ustat,coeff,3.33333E-1,0.00000E0,0.00000E0,6.66667E-1,0.00000E0,3.33333E-1
modalityA,NO_MOD,Ustat,total,1.74870E-3,0.00000E0,0.00000E0,3.34079E-5,0.00000E0,7.91201E-5
modalityA,NO_MOD,MLE,components,3.62222E-3,0.00000E0,2.35778E-4,1.11778E-4,1.11778E-4,2.35778E-4
modalityA,NO_MOD,MLE,coeff,3.33333E-1,0.00000E0,0.00000E0,6.66667E-1,0.00000E0,3.33333E-1
modalityA,NO_MOD,MLE,total,1.20741E-3,0.00000E0,0.00000E0,7.45185E-5,0.00000E0,7.85926E-5
modalityB,NO_MOD,Ustat,components,1.11857E-4,0.00000E0,0.00000E0,1.37808E-4,0.00000E0,1.59284E-4
modalityB,NO_MOD,Ustat,coeff,3.33333E-1,0.00000E0,0.00000E0,6.66667E-1,0.00000E0,3.33333E-1
modalityB,NO_MOD,Ustat,total,3.72856E-5,0.00000E0,0.00000E0,9.18717E-5,0.00000E0,5.30947E-5
modalityB,NO_MOD,MLE,components,8.88889E-5,0.00000E0,1.58222E-4,1.44000E-4,1.44000E-4,1.58222E-4
modalityB,NO_MOD,MLE,coeff,3.33333E-1,0.00000E0,0.00000E0,6.66667E-1,0.00000E0,3.33333E-1
modalityB,NO_MOD,MLE,total,2.96296E-5,0.00000E0,0.00000E0,9.60000E-5,0.00000E0,5.27407E-5
modalityA,modalityB,Ustat,components,8.39821E-4,1.83915E-3,2.55034E-5,9.39597E-5,3.19911E-5,1.98322E-4
modalityA,modalityB,Ustat,coeff,0.00000E0,6.66667E-1,-6.66667E-1,1.33333E0,-1.33333E0,6.66667E-1
modalityA,modalityB,Ustat,total,0.00000E0,1.22610E-3,-1.70022E-5,1.25280E-4,-4.26547E-5,1.32215E-4
modalityA,modalityB,MLE,components,5.55556E-4,1.30000E-3,2.53333E-5,1.27889E-4,2.96296E-5,1.97000E-4
modalityA,modalityB,MLE,coeff,0.00000E0,6.66667E-1,-6.66667E-1,1.33333E0,-1.33333E0,6.66667E-1
modalityA,modalityB,MLE,total,0.00000E0,8.66667E-4,-1.68889E-5,1.70519E-4,-3.95062E-5,1.31333E-4
