ReaderID,CaseID,Modality,Score
truth,Actual1,ModalityA,1
truth,Actual2,ModalityA,1
truth,Actual3,ModalityA,1
truth,Actual4,ModalityA,1
truth,Actual5,ModalityA,1
truth,Actual6,ModalityA,1
truth,Actual7,ModalityA,1
truth,Actual8,ModalityA,1
truth,Actual9,ModalityA,1
truth,Actual10,ModalityA,1
truth,Actual11,ModalityA,1
truth,Actual12,ModalityA,1
truth,Actual13,ModalityA,1
truth,Actual14,ModalityA,1
truth,Actual15,ModalityA,1
truth,Actual16,ModalityA,1
truth,Actual17,ModalityA,1
truth,Actual18,ModalityA,1
truth,Actual19,ModalityA,1
truth,Actual20,ModalityA,1
truth,Actual21,ModalityA,0
truth,Actual22,ModalityA,0
truth,Actual23,ModalityA,0
truth,Actual24,ModalityA,0
truth,Actual25,ModalityA,0
truth,Actual26,ModalityA,0
truth,Actual27,ModalityA,0
truth,Actual28,ModalityA,0
truth,Actual29,ModalityA,0
truth,Actual30,ModalityA,0
truth,Actual31,ModalityA,0
truth,Actual32,ModalityA,0
truth,Actual33,ModalityA,0
truth,Actual34,ModalityA,0
truth,Actual35,ModalityA,0
truth,Actual36,ModalityA,0
truth,Actual37,ModalityA,0
truth,Actual38,ModalityA,0
truth,Actual39,ModalityA,0
reader1,Actual1,ModalityA,1
reader1,Actual2,ModalityA,1
reader1,Actual3,ModalityA,1
reader1,Actual4,ModalityA,1
reader1,Actual5,ModalityA,1
reader1,Actual6,ModalityA,1
reader1,Actual7,ModalityA,1
reader1,Actual8,ModalityA,1
reader1,Actual9,ModalityA,1
reader1,Actual10,ModalityA,1
reader1,Actual11,ModalityA,1
reader1,Actual12,ModalityA,1
reader1,Actual13,ModalityA,1
reader1,Actual14,ModalityA,1
reader1,Actual15,ModalityA,1
reader1,Actual16,ModalityA,1
reader1,Actual17,ModalityA,1
reader1,Actual18,ModalityA,1
reader1,Actual19,ModalityA,1
reader1,Actual20,ModalityA,1
reader1,Actual21,ModalityA,1
reader1,Actual22,ModalityA,1
reader1,Actual23,ModalityA,1
reader1,Actual24,ModalityA,1
reader1,Actual25,ModalityA,1
reader1,Actual26,ModalityA,1
reader1,Actual27,ModalityA,1
reader1,Actual28,ModalityA,1
reader1,Actual29,ModalityA,1
reader1,Actual30,ModalityA,1
reader1,Actual31,ModalityA,1
reader1,Actual32,ModalityA,1
reader1,Actual33,ModalityA,1
reader1,Actual34,ModalityA,1
reader1,Actual35,ModalityA,1
reader1,Actual36,ModalityA,1
reader1,Actual37,ModalityA,1
reader1,Actual38,ModalityA,1
reader1,Actual39,ModalityA,0
reader2,Actual1,ModalityA,1
reader2,Actual2,ModalityA,1
reader2,Actual3,ModalityA,1
reader2,Actual4,ModalityA,1
reader2,Actual5,ModalityA,1
reader2,Actual6,ModalityA,1
reader2,Actual7,ModalityA,1
reader2,Actual8,ModalityA,1
reader2,Actual9,ModalityA,1
reader2,Actual10,ModalityA,1
reader2,Actual11,ModalityA,1
reader2,Actual12,ModalityA,1
reader2,Actual13,ModalityA,1
reader2,Actual14,ModalityA,1
reader2,Actual15,ModalityA,1
